Name,USN,CGPA,Address,Blood Group,Branch,UG/PG,DOB,Year
Thomas Lopez,USN00000,6.8,"73258 Jamie Mount Suite 362
Jeffreychester, KY 11959",B+,Computer Science,UG,1994-01-26,2
Thomas Peterson,USN00001,5.4,"PSC 0953, Box 1996
APO AP 75603",A+,Electronics,PG,1998-07-02,4
Sandra Gonzalez,USN00002,7.0,"57499 Brooks Junction
Tylerport, CT 99106",A+,Mechanical,PG,1994-01-11,1
Toni Lam,USN00003,4.6,"0133 Garza Alley Apt. 788
North Jenniferhaven, OR 53078",B+,Mechanical,UG,1998-04-10,1
Derek Myers,USN00004,7.1,"297 Peggy Corners Suite 180
Wadefort, NM 69263",B+,Mechanical,UG,1995-05-12,4
Connor Singleton,USN00005,9.9,"526 Daniel Shoal Suite 556
Port Courtney, AZ 07472",B+,Computer Science,PG,1997-03-03,3
Charles Freeman,USN00006,0.5,"62180 Brown Bypass
North Alexbury, MS 23175",AB+,Mechanical,PG,1999-01-19,2
John Lopez,USN00007,5.1,"65327 Hannah Falls
North Meganbury, NY 15224",B+,Computer Science,PG,1995-04-11,3
Christina Duarte,USN00008,2.9,"383 Sherry Parkways Suite 074
Campbellmouth, MN 22279",B+,Electronics,UG,2000-03-01,4
Tanner Christensen,USN00009,4.3,"645 Wells Expressway Suite 465
East Laura, VI 34060",A+,Computer Science,PG,1997-03-21,1
Ryan Wagner,USN00010,9.1,"248 Young Falls Apt. 433
Navarrochester, OR 50239",AB+,Electronics,UG,1997-10-04,1
Kendra Jones,USN00011,7.9,"9564 Jordan Forks
North Vanessahaven, KY 66508",B+,Mechanical,UG,2005-06-15,2
John Johnson,USN00012,5.5,"2418 Mitchell Parkway Apt. 644
Lancefort, VA 90812",A+,Mechanical,UG,1994-05-31,3
Kristin Barnett,USN00013,1.2,"9568 Mcbride Drives Apt. 923
Jessicaview, MN 74509",O+,Computer Science,UG,1996-04-12,4
Timothy Moreno,USN00014,5.1,"92221 Henderson Islands Suite 758
Moranmouth, OR 41524",A+,Mechanical,UG,1996-08-02,4
Elizabeth Smith,USN00015,0.5,"818 Woodward Walk Suite 302
Lake Gerald, NM 65435",AB+,Mechanical,PG,2003-03-26,3
Mary Flores,USN00016,5.5,"PSC 8079, Box 7316
APO AP 40035",O+,Computer Science,PG,2000-05-03,4
Dalton Wright,USN00017,4.2,"731 Collins Stravenue Apt. 799
Lake Brian, NJ 67398",O+,Computer Science,PG,1995-03-09,1
Daniel Parsons,USN00018,4.2,"416 Richard Club Apt. 593
Evansborough, OR 87332",O+,Mechanical,UG,1996-05-26,4
Jared Ellison,USN00019,5.4,"70968 Rivera Meadow Suite 319
West Justin, IN 84089",O+,Mechanical,PG,2006-01-19,4
Natalie Jackson,USN00020,8.6,"714 Katherine Land Suite 690
West Harold, PR 07792",B+,Computer Science,PG,1999-01-02,2
Ann Lewis,USN00021,9.6,"393 Olson Prairie Suite 572
West Sarah, FL 37763",B+,Computer Science,PG,2004-11-07,4
Ashlee Ball,USN00022,4.5,"017 Jennifer Expressway Suite 844
Port Kelly, IA 76802",AB+,Electronics,UG,2005-12-02,4
Colleen Price,USN00023,0.8,"008 Reid Causeway
Jorgeview, NM 41790",B+,Computer Science,UG,2005-03-27,2
Jennifer Gonzalez,USN00024,1.4,"830 Angela Bridge Apt. 430
Lake Amandamouth, MO 71526",AB+,Computer Science,PG,2003-06-19,3
Karen Mcmillan,USN00025,0.9,"876 Leah Drive
Anitaton, GA 84107",A+,Electronics,PG,2006-03-05,2
Amy Dixon,USN00026,0.6,"625 Sara View
South Thomas, WI 97743",O+,Mechanical,PG,1995-06-29,2
Joseph Alvarez,USN00027,1.4,"23658 Leon Center Apt. 648
Stevenhaven, LA 11119",AB+,Computer Science,PG,1998-10-19,2
